,ID,Amount,Principal overdue,Interest overdue,Loan_type
0,39860,31206488,579,961,3
1,57912,78618069,45,292,4
2,72482,7514909,860,392,1
3,18760,92589299,685,786,5
4,33592,68621935,594,527,4
5,57819,19438796,17,487,6
6,56887,90692801,906,545,1
7,42846,98412594,773,987,1
8,67118,37250973,361,893,4
9,92165,93587445,297,564,4
10,59716,75555246,362,358,1
11,93925,18639780,764,341,5
12,52140,76521721,753,135,1
13,57517,50337326,965,658,1
14,70003,33886313,206,223,6
15,59971,32917398,213,368,5
16,45043,99539554,754,986,3
17,51544,12947040,860,534,6
18,85965,31746116,234,133,2
19,72959,36883369,478,370,6
20,58208,77079356,309,255,5
21,95927,75809311,215,71,1
22,22985,69757586,643,3,3
23,47315,98811375,294,960,6
24,47170,57142180,749,843,3
25,85431,16652788,507,377,2
26,44595,99215140,800,855,5
27,20125,23976068,321,848,1
28,89635,75174186,805,92,4
29,37488,46679551,252,77,6
30,43532,68229356,503,576,3
31,94410,16158942,568,612,1
32,29803,72743806,455,772,3
33,11150,16206887,417,764,3
34,82026,31940357,533,207,6
35,36305,44294497,578,236,5
36,16442,40538178,576,692,4
37,80712,53387146,333,43,5
38,70369,39508053,133,536,6
39,95067,59951002,985,231,2
40,33147,69110122,773,666,1
41,88674,81163607,781,814,1
42,50984,93685063,74,291,5
43,52768,90477204,689,488,6
44,24297,64165241,631,523,3
45,95429,54763269,422,39,2
46,37976,96662152,392,435,3
47,23039,11208395,986,615,2
48,74187,24041894,14,171,3
49,25639,90366674,114,320,5
50,98587,25103024,205,387,3
51,60030,74456172,204,449,1
52,56205,50511271,919,771,6
53,46216,61838382,820,993,1
54,87074,71967018,586,82,6
55,83494,18859726,610,419,2
56,87608,29390916,654,207,6
57,74906,57657027,639,587,1
58,33204,71861056,58,594,5
59,73510,96684326,270,185,2
60,48279,82814607,249,698,6
61,27760,60338790,523,244,2
62,74968,99436249,156,651,1
63,94538,95169110,573,601,4
64,19445,35423035,889,638,3
65,14950,85660305,266,31,1
66,89569,43286282,899,187,3
67,59984,24709741,310,85,4
68,92220,8992337,386,180,5
69,97857,5047047,696,935,3
70,40419,59073673,777,280,5
71,25779,74074413,509,24,2
72,75791,12702799,287,462,3
73,36581,36017056,444,854,3
74,30434,59905499,331,633,4
75,46828,37170363,527,13,5
76,59626,48982064,875,571,5
77,19941,50533685,242,146,1
78,54965,17129391,541,407,1
79,82683,67431714,778,19,2
80,11641,7285564,250,526,6
81,13461,59300583,811,141,6
82,46156,46277575,677,466,6
83,94467,72719043,171,214,2
84,51079,70234779,140,448,3
85,71176,49130356,68,480,2
86,97179,15788875,324,772,4
87,61509,16594348,902,805,1
88,81458,15758106,708,8,4
89,64216,59985445,782,239,5
90,10197,27051457,353,608,2
91,57669,85759846,583,10,4
92,33519,4216542,397,737,3
93,76695,13104616,444,716,6
94,27004,67767332,39,68,1
95,62700,27318796,771,567,3
96,64522,77129492,458,463,4
97,79205,23453029,167,17,5
98,58156,58115298,149,74,6
99,95855,62874872,634,54,4
100,23396,5772464,409,151,5
101,10267,81082750,352,141,3
102,16113,59587594,575,212,3
103,71989,24516010,725,73,1
104,90713,99838287,5,200,3
105,60796,6423585,870,641,5
106,97712,32482813,10,791,1
107,46484,37574403,844,290,4
108,97308,62379700,943,158,5
109,86976,1680286,181,625,1
110,80638,67128373,730,967,2
111,23780,3104031,902,161,4
112,96842,54581546,119,29,1
113,58080,93501950,860,250,6
114,31238,69089538,573,898,6
115,47705,14925128,179,326,2
116,62207,14632375,613,303,5
117,85214,29906334,644,757,6
118,49522,44223969,261,950,3
119,88593,84104835,283,933,3
120,74749,54091161,710,739,3
121,96451,95665338,791,205,4
122,65982,22409349,813,611,3
123,65418,21722180,51,489,5
124,92034,42051724,976,688,6
125,72257,80314390,914,395,5
126,69345,49491360,347,902,4
127,23597,55542791,942,978,1
128,14740,69327244,593,748,2
129,73694,4446998,46,871,4
130,92748,80304595,179,421,4
131,27502,92554789,862,730,5
132,74281,4597139,541,191,2
133,49584,8264156,676,590,1
134,49812,62407000,804,272,3
135,26996,96985522,709,656,3
136,23297,51608742,900,653,3
137,36866,69674207,83,60,2
138,57780,55455141,35,552,6
139,54748,50720266,271,951,5
140,84361,34241859,405,390,1
141,87009,13552141,632,782,3
142,14189,61550479,219,871,4
143,60447,74852688,419,683,6
144,55930,22030595,319,875,6
145,99390,19000729,116,788,4
146,21780,79642387,947,475,3
147,81081,34594029,819,993,1
148,95254,82291023,498,107,5
149,40364,73541383,206,245,4
150,81154,64415446,617,862,4
151,38240,5768384,945,822,3
152,13840,87542803,776,387,6
153,47943,13527816,482,295,1
154,62622,33337095,696,623,6
155,55661,28648752,389,885,1
156,44154,84922346,16,568,1
157,24955,84773789,885,543,3
158,93991,28237138,685,108,4
159,95115,51380459,996,179,1
160,89488,88197724,222,523,1
161,38772,98613585,952,89,5
162,83216,35264838,239,407,3
163,54497,84127824,74,890,2
164,43211,91172782,692,472,3
165,32145,22272954,117,824,1
166,16687,62266643,408,949,5
167,66528,30202645,187,244,2
168,23258,28351514,141,134,3
169,32888,65850120,906,582,6
170,30499,33447323,407,63,2
171,74594,36940367,873,211,4
172,96993,14443222,875,426,4
173,36585,27111481,582,32,2
174,14549,37923680,111,895,1
175,43980,4403943,270,507,1
176,36427,94059655,2,284,4
177,86305,85341323,132,871,1
178,48607,49666916,767,883,5
179,69085,3873008,207,781,3
180,94770,11913052,989,936,1
181,31251,85171786,65,7,2
182,90706,66068118,394,397,4
183,37189,96532899,802,26,3
184,12649,59899213,440,584,1
185,61514,34639660,181,254,4
186,30429,71536723,861,178,1
187,66348,40179631,184,831,1
188,28738,37572675,557,282,6
189,68543,93483845,561,175,5
190,87800,55177376,877,356,2
191,58674,81194373,777,632,1
192,37914,48831053,496,502,3
193,38212,26340641,946,932,3
194,54668,90402862,790,501,1
195,46261,70514373,742,866,5
196,16481,91976398,575,82,6
197,45574,94379069,756,399,4
198,43852,90340962,815,632,2
199,86472,66604671,642,145,1
200,63214,6085570,405,318,6
201,59574,87607851,609,436,1
202,30452,64428691,203,758,4
203,49443,46675465,450,939,1
204,11973,85213529,418,939,6
205,28558,41425056,197,362,4
206,29528,71991494,586,988,2
207,28815,32313330,632,293,1
208,88562,62860214,978,262,2
209,45935,64311537,559,53,3
210,63509,31946103,147,512,1
211,47200,6095364,571,594,4
212,74326,96135208,834,461,6
213,19323,91921045,482,557,6
214,23658,95791344,249,86,6
215,16775,37631691,22,226,5
216,57482,66058538,563,289,2
217,54098,56542292,57,779,6
218,20029,4796138,836,38,1
219,64084,5664356,99,422,4
220,72300,41526546,557,854,2
221,87935,32491652,569,673,5
222,66175,59861027,641,656,2
223,98899,72596340,747,224,4
224,49328,66022649,236,454,4
