,ID,Amount,Principal overdue,Interest overdue,Loan_type
0,73730,26708966,523,829,6
1,26835,40119839,609,942,6
2,33980,9204131,441,569,1
3,23758,8788238,310,368,3
4,18632,2125188,184,373,3
5,66862,81734603,910,184,3
6,75910,30280036,353,85,1
7,88303,35149278,272,756,4
8,39938,35272609,3,438,4
9,25316,5060916,485,522,1
10,37575,22378819,312,837,4
11,81003,95815668,959,517,4
12,33183,38466076,230,95,3
13,61604,61327417,832,76,2
14,74248,25006995,109,21,3
15,28884,90550770,625,58,1
16,22432,82082869,103,107,1
17,14875,10174257,423,301,6
18,22873,22228484,652,61,4
19,99084,38153239,273,837,4
20,31401,31713742,866,217,5
21,26432,53262958,874,319,6
22,36176,38310882,482,535,6
23,18397,69421486,707,147,3
24,55212,74001224,93,42,6
25,72680,33646869,39,203,6
26,28747,23154735,347,776,6
27,71725,99205178,480,295,3
28,11082,70657948,181,874,3
29,63216,56305746,276,43,6
30,71395,42492909,295,807,5
31,18253,47763666,10,19,4
32,24442,62877561,344,518,1
33,64528,3895430,112,378,6
34,86045,62940120,607,434,1
35,70472,94344383,406,924,1
36,81848,85399000,920,946,5
37,56126,48444445,288,432,4
38,91536,23375840,354,354,1
39,73094,71708233,920,252,5
40,63319,44163150,991,116,3
41,85924,71998504,310,968,5
42,60800,84247890,227,318,2
43,15177,42149349,438,618,4
44,61782,58689328,524,224,5
45,94585,60042379,831,246,3
46,50043,11865377,467,662,4
47,81673,82575800,664,135,3
48,44921,11517571,464,952,6
49,29682,43370602,880,332,1
50,45615,70516980,73,176,5
51,75243,77287794,761,428,6
52,14457,32099956,316,133,5
53,90404,75228464,583,22,5
54,29537,26610080,866,675,5
55,52687,20463463,203,188,2
56,26988,65120317,312,218,5
57,56032,25663862,532,950,2
58,53163,51361478,894,782,2
59,94573,16108402,133,969,1
60,41673,44592744,747,129,5
61,51276,62300041,118,583,4
62,57728,61813922,207,667,5
63,97249,42428680,708,407,1
64,30482,52970013,175,263,6
65,50544,6038246,306,302,2
66,29847,10786242,130,859,5
67,81514,10550293,681,468,6
68,34205,36368837,484,895,1
69,45415,38536052,330,730,6
70,46268,98510060,268,610,3
71,85418,14600933,249,199,5
72,39295,3377319,640,587,6
73,54188,98892384,937,276,3
74,13525,43562368,278,52,1
75,85133,66387317,347,157,3
76,52775,29443399,350,214,5
77,44285,69712346,0,0,3
78,86746,67379636,542,984,4
79,34026,20178614,235,794,5
80,48994,64046646,360,907,3
81,87698,43345678,177,105,5
82,35863,20342091,197,642,1
83,51902,55342880,11,724,4
84,59998,4510486,105,284,2
85,83167,2597013,558,420,2
86,16211,65744205,771,902,4
87,17764,88336273,655,388,2
88,20575,66905884,256,572,6
89,15041,81139232,93,625,4
90,51361,83297289,272,61,2
91,82228,62397719,596,900,4
92,76794,95379947,651,238,3
93,57091,14869760,64,889,3
94,23220,53956120,460,392,1
95,88253,52670689,235,556,6
96,57870,8291744,985,232,2
97,50347,9519316,288,380,5
98,93247,85180562,76,498,3
99,11722,57290388,8,600,4
100,55211,12512515,771,115,6
101,75815,66977965,599,171,3
102,77137,27725559,392,543,4
103,10821,59271697,153,893,4
